city	time	so2	pm10	no2	nox	co	no	pm25	p	t	rh
Belgrade	30/12/2021	7.35	36.92	45.49	127.47	0.88	53.37	32.32	1010.22	6.2	90.07
Belgrade	31/12/2021	20.87	89.9	70.12	414.02	2.04	224.31	77.31	1012.67	8.79	82.54
Belgrade	01/01/2022	10.93	64.43	38.83	133.12	1.3	61.54	59.86	1012.87	10.04	82.36
Belgrade	02/01/2022	15.21	42.57	55.74	198.03	1.12	92.96	37.21	1012.73	11.14	75.14
Belgrade	03/01/2022	13.99	68.64	63.15	292.04	1.54	149.28	60.49	1006.57	9.09	77.98
Belgrade	04/01/2022	18.44	64.26	67.04	304.09	1.45	154.67	48.42	1000.63	9.81	68.07
Belgrade	05/01/2022	12.41	26.51	50.49	123.45	0.79	47.76	16.71	994.21	13.61	57.51
Belgrade	06/01/2022	5.11	16.32	33.08	69.96	0.66	24.03	14.59	1003.62	5.07	80.41
Belgrade	07/01/2022	6.21	25.14	26.58	46.63	0.72	13.05	23.56	1010.94	3.03	61.34
Belgrade	08/01/2022	6.44	39.86	32.69	81.54	0.83	31.92	36.6	1004.31	1.9	89.08
Belgrade	09/01/2022	21.91	36.43	29.38	50.73	0.75	13.93	33.09	997.21	0.72	84.7
Belgrade	10/01/2022	7.83	85.95	29.39	49.34	0.69	12.97	40.12	1001	-0.43	92.6
Belgrade	11/01/2022	5.66	53.82	39.76	76.49	0.66	23.93	31.07	1013.12	-0.16	92.39
Belgrade	12/01/2022	6.51	33.41	50.92	114.11	0.76	41.09	32.69	1022.25	-1.98	76.75
Belgrade	13/01/2022	15.13	73.01	63.8	183.47	1.27	78	71.51	1027.13	-1.98	76.2
Belgrade	14/01/2022	28.26	54.71	71.19	177.08	1.07	68.95	49.41	1017.57	3.02	68.03
Belgrade	15/01/2022	13.07	44.53	56.95	223.86	1.25	108.75	42.56	1016.86	3.77	78.31
Belgrade	16/01/2022	14.67	78.45	65.82	222.69	1.59	102.29	73.7	1014.95	3	76.34
Belgrade	17/01/2022	18.2	55.88	56.37	123.04	1.07	43.38	50.7	1012.55	4.65	69.3
Belgrade	18/01/2022	7.19	21.64	45.79	106.5	0.77	39.42	16.65	1021.08	3	67.5
Belgrade	19/01/2022	12.14	55.7	61.13	192.98	1.22	86.08	50.37	1020.39	1.89	71.95
Belgrade	20/01/2022	16.72	80.53	73.22	315.57	1.6	158.33	67.93	1009.42	2.48	76.84
Belgrade	21/01/2022	8.53	17.76	48.19	89.65	0.72	27.1	14.87	1012.32	1.66	70.14
Belgrade	22/01/2022	7.81	38.41	48.05	88.63	0.73	26.47	23.34	1011.49	-0.18	81.05
Belgrade	23/01/2022	11.03	23.71	48.6	43.91	0.73	14.14	22.58	1017.51	-1.59	71.21
Belgrade	24/01/2022	7.88	41.63	73.26	132.02	0.94	57.9	36.13	1023.3	-4.07	68.84
Belgrade	25/01/2022	23.17	80.83	72.53	214.44	1.26	92.56	66.6	1022.38	-2.92	62.83
Belgrade	26/01/2022	18.94	47.12	48.52	145.61	1.05	63.56	44.52	1017.63	1.22	77.36
Belgrade	27/01/2022	15.2	57.18	67.23	245.59	1.4	116.58	51.32	1014.39	3.16	73.53
Belgrade	28/01/2022	19.36	59.81	64.79	205.32	1.4	91.72	55.43	1011.9	3.23	73.24
Belgrade	29/01/2022	7.13	23.6	46.32	103.33	0.85	37	16.34	1015.92	3.81	64.25
Belgrade	30/01/2022	15.12	40.14	53	88.64	0.85	23.22	18.45	1006.56	6.44	47.79
Belgrade	31/01/2022	13.2	32.77	57.51	121.79	0.92	41.93	18.26	1001.17	5.49	51.67
Belgrade	01/02/2022	6.57	30.39	43.83	105.79	0.96	40.65	29.03	999.44	3.49	82.07
Belgrade	02/02/2022	13.04	35.14	57.81	140.61	1.02	54.08	27.96	999.61	3.81	72.86
Belgrade	03/02/2022	7.89	44.16	53.97	198.59	1.26	94.24	30.61	1010.77	4.64	63.8
Belgrade	04/02/2022	15.57	80.8	91.14	378.13	1.94	187.09	61.17	1007.5	5.76	58.59
Belgrade	05/02/2022	14.32	68.04	70.65	258.87	1.59	122.88	53.38	1009.23	7.13	66
Belgrade	06/02/2022	12.37	44.57	69.18	223.84	1.31	100.82	33.03	1009.64	8.48	51.61
Belgrade	07/02/2022	12.21	17.51	48.82	96.88	0.89	31.43	11.33	999.05	8.06	62.91
Belgrade	08/02/2022	4.44	21.17	31.42	62.27	0.82	20.07	12.09	1014	5.24	64.56
Belgrade	09/02/2022	12.11	25.12	63.21	238.16	1.42	114.03	17.15	1017.93	8.51	63.9
Belgrade	10/02/2022	15.33	93.52	86.37	419.51	2	217.08	62.56	1013.72	9.79	67.84
Belgrade	11/02/2022	14.1	71.07	81.27	293.96	1.58	188.26	50.58	1012.44	10.28	61.24
Belgrade	12/02/2022	4.43	18.67	26.64	39.29	0.81	8.25	12.46	1021.32	7.18	51.27
Belgrade	13/02/2022	5.99	32.54	35.99	58.51	1	14.69	25.58	1016.76	5.65	59.81
Belgrade	14/02/2022	12.49	34.13	54.34	113.7	1.03	38.7	25.15	1009.49	8.8	59.89
Belgrade	15/02/2022	8.66	36.7	56.91	102.44	1.07	29.7	26.74	1005.57	11.93	53.8
Belgrade	16/02/2022	7.15	40.58	51.7	136.08	1.17	55.02	36.79	1004.87	9.69	83.01
Belgrade	17/02/2022	16.22	41.73	68.46	263.45	1.35	127.05	28.53	997.25	11.08	62.52
Belgrade	18/02/2022	10.23	21.48	52.86	107.84	0.92	35.7	10.76	1005.36	11.54	44.8
Belgrade	19/02/2022	8.11	28.4	42.3	103.91	0.95	40.15	14.21	1005.37	11.3	48.16
Belgrade	20/02/2022	9.26	19.65	38.77	75.32	0.87	23.81	16.66	1009.11	8.18	72.51
Belgrade	21/02/2022	19.57	24.77	49.57	123.76	0.97	48.3	18.78	998.17	10.36	70.95
Belgrade	22/02/2022	6.28	15.02	34.24	60.33	0.8	17.08	9.86	1002.68	7.54	70.44
Belgrade	23/02/2022	7.18	23.56	51.1	112.37	0.93	40.08	15	1013.22	6.88	58.68
Belgrade	24/02/2022	12.84	45.64	66.84	206.41	1.28	91.34	34.29	1013.88	7.42	53.37
Belgrade	25/02/2022	14.13	32.75	52.18	125.04	0.95	47.77	20.62	1007.7	9.08	44.69
Belgrade	26/02/2022	3.89	18.01	30.88	55.5	0.8	15.98	16.35	1013.48	5.98	74.98
Belgrade	27/02/2022	7.66	16.51	23.66	37.67	0.78	9.1	14.56	1014.23	6.62	65.87
Belgrade	28/02/2022	5.45	27.84	36.75	86.3	0.9	32.49	25.2	1014.3	3.54	80.54
Belgrade	01/03/2022	8.55	39.12	40.67	93.01	0.95	34.34	35.42	1015.8	3.46	80.15
Belgrade	02/03/2022	7.38	36.11	42.97	88.38	0.93	29.56	26.91	1011	4.59	58.02
Belgrade	03/03/2022	11.81	59.69	62.15	164.2	1.21	66.48	43.98	1005.92	5.32	47.86
Belgrade	04/03/2022	10.24	65.79	61.66	156.58	1.28	61.83	53.54	1004.99	4.33	59.12
Belgrade	05/03/2022	6.06	41.1	31.84	45.13	0.86	8.88	34.41	1007.45	3.92	56.48
Belgrade	06/03/2022	11.08	31.35	20.8	29.01	0.81	5.36	25.76	1006.41	2.96	78.12
Belgrade	07/03/2022	6.62	28.64	36.65	75.58	0.88	25.55	27.9	1007.46	2.31	86.52
Belgrade	08/03/2022	6.58	37.93	40.12	82.15	0.91	27.48	31.76	1009.06	2.68	67.25
Belgrade	09/03/2022	6.81	37.59	41.7	93.65	0.95	34.06	30.07	1010.64	2.55	69.5
Belgrade	10/03/2022	4.08	25.5	23.49	36.07	0.78	8.15	19.99	1013.76	3.13	68.05
Belgrade	11/03/2022	3.67	30.7	34.21	74.72	0.88	26.32	20.73	1018.68	0.66	47.94
Belgrade	12/03/2022	10.65	62.32	54.94	161.16	1.39	69.1	49.14	1020.17	1.33	42.21
Belgrade	13/03/2022	24.65	85.85	69.54	254.61	1.83	120.82	70.15	1017.69	3.75	42.24
Belgrade	14/03/2022	20.94	56.14	64.33	130.51	1.24	43.18	40.32	1021.64	7.67	34.64
Belgrade	15/03/2022	17.17	63.42	77.14	204.21	1.25	82.9	40.62	1020.78	10.11	34.98
